dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.663974,7.605881,0.000010,0.002000,0.200000,20.000000,0.000285
0.010000,0.663977,7.605881,0.000012,0.000227,-0.177340,-37.734022,0.000284
0.010000,0.663982,7.605881,0.000017,0.000510,0.028324,20.566463,0.000282
0.010000,0.663991,7.605881,0.000026,0.000906,0.039653,1.132889,0.000277
0.010000,0.664005,7.605881,0.000041,0.001416,0.050981,1.132755,0.000270
0.010000,0.664025,7.605881,0.000061,0.002039,0.062306,1.132535,0.000260
0.010000,0.664053,7.605881,0.000089,0.002776,0.073628,1.132209,0.000246
0.010000,0.664089,7.605881,0.000125,0.003625,0.084946,1.131754,0.000228
0.010000,0.664135,7.605881,0.000171,0.004588,0.096257,1.131150,0.000205
0.010000,0.664192,7.605881,0.000227,0.005663,0.107561,1.130375,0.000177
0.010000,0.664260,7.605881,0.000296,0.006852,0.118855,1.129407,0.000142
0.010000,0.664342,7.605881,0.000378,0.008153,0.130137,1.128226,0.000102
0.010000,0.664438,7.605881,0.000473,0.009567,0.141406,1.126809,0.000054
0.010000,0.664610,7.605881,0.000645,0.017207,0.763940,62.253424,6.283184
0.010000,0.666987,7.605881,0.003023,0.237735,22.052858,2128.891792,6.283120
0.010000,0.669692,7.605881,0.005727,0.270485,3.274966,-1877.789151,6.283047
0.010000,0.672745,7.605880,0.008781,0.305346,3.486084,21.111809,6.282966
0.010000,0.676168,7.605879,0.012204,0.342320,3.697421,21.133667,6.282874
0.010000,0.679983,7.605878,0.016018,0.381409,3.908959,21.153843,6.282772
0.010000,0.684209,7.605876,0.020244,0.422602,4.119266,21.030688,6.282659
0.010000,0.688868,7.605873,0.024903,0.465912,4.330996,21.172955,6.282535
0.010000,0.693981,7.605869,0.030017,0.511328,4.541601,21.060515,6.282398
0.010000,0.699570,7.605864,0.035605,0.558856,4.752755,21.115445,6.282249
0.010000,0.705654,7.605858,0.041690,0.608490,4.963451,21.069582,6.282086
0.010000,0.712257,7.605850,0.048292,0.660238,5.174748,21.129688,6.281910
0.010000,0.719398,7.605841,0.055433,0.714086,5.384877,21.012907,6.281720
0.010000,0.727098,7.605829,0.063134,0.770048,5.596116,21.123920,6.281514
0.010000,0.735379,7.605814,0.071415,0.828115,5.806779,21.066266,6.281294
0.010000,0.744262,7.605796,0.080298,0.888286,6.017032,21.025264,6.281057
0.010000,0.753768,7.605775,0.089803,0.950562,6.227594,21.056196,6.280805
0.010000,0.763917,7.605749,0.099953,1.014942,6.438037,21.044352,6.280535
0.010000,0.774731,7.605719,0.110767,1.081425,6.648353,21.031582,6.280248
0.010000,0.786231,7.605683,0.122267,1.150011,6.858532,21.017862,6.279943
0.010000,0.798438,7.605642,0.134474,1.220696,7.068563,21.003171,6.279619
0.010000,0.811373,7.605593,0.147409,1.293481,7.278438,20.987486,6.279277
0.010000,0.825056,7.605537,0.161093,1.368364,7.488328,20.988940,6.278915
0.010000,0.839510,7.605473,0.175546,1.445349,7.698469,21.014177,6.278533
0.010000,0.854754,7.605399,0.190790,1.524421,7.907213,20.874389,6.278131
0.010000,0.870810,7.605314,0.206846,1.605594,8.117341,21.012753,6.277708
0.010000,0.887698,7.605218,0.223735,1.688853,8.325887,20.854589,6.277264
0.010000,0.905440,7.605109,0.241477,1.774212,8.535859,20.997287,6.276798
0.010000,0.924056,7.604985,0.260093,1.861652,8.744007,20.814796,6.276310
0.010000,0.943567,7.604846,0.279605,1.951181,8.952897,20.888995,6.275799
0.010000,0.963994,7.604690,0.300033,2.042796,9.161537,20.863943,6.275265
0.010000,0.985359,7.604515,0.321398,2.136495,9.369914,20.837685,6.274707
0.010000,1.007681,7.604319,0.343721,2.232275,9.578016,20.810213,6.274126
0.010000,1.030981,7.604101,0.367022,2.330134,9.785831,20.781520,6.273520
0.010000,1.055280,7.603858,0.391323,2.430067,9.993347,20.751601,6.272890
0.010000,1.080600,7.603589,0.416644,2.532075,10.200771,20.742391,6.272234
0.010000,1.106960,7.603292,0.443005,2.636159,10.408389,20.761805,6.271554
0.010000,1.134381,7.602963,0.470428,2.742305,10.614563,20.617413,6.270847
0.010000,1.162884,7.602601,0.498934,2.850521,10.821667,20.710375,6.270114
0.010000,1.192489,7.602203,0.528542,2.960800,11.027917,20.624976,6.269355
0.010000,1.223217,7.601766,0.559273,3.073138,11.233722,20.580570,6.268570
0.010000,1.255089,7.601287,0.591148,3.187532,11.439491,20.576893,6.267757
0.010000,1.288125,7.600763,0.624188,3.303981,11.644847,20.535624,6.266917
0.010000,1.322345,7.600192,0.658413,3.422479,11.849778,20.493085,6.266050
0.010000,1.357769,7.599569,0.693843,3.543026,12.054699,20.492104,6.265155
0.010000,1.394419,7.598891,0.730499,3.665614,12.258870,20.417052,6.264232
0.010000,1.432314,7.598154,0.768402,3.790240,12.462598,20.372847,6.263280
0.010000,1.471475,7.597356,0.807571,3.916902,12.666194,20.359520,6.262301
0.010000,1.511922,7.596490,0.848027,4.045598,12.869562,20.336831,6.261293
0.010000,1.553675,7.595555,0.889790,4.176317,13.071896,20.233379,6.260256
0.010000,1.596753,7.594544,0.932880,4.309059,13.274164,20.226842,6.259191
0.010000,1.641178,7.593453,0.977319,4.443817,13.475877,20.171250,6.258097
0.010000,1.686969,7.592278,1.023125,4.580593,13.677533,20.165614,6.256974
0.010000,1.734146,7.591014,1.070318,4.719372,13.877923,20.039020,6.255822
0.010000,1.782728,7.589656,1.118920,4.860156,14.078361,20.043822,6.254641
0.010000,1.832737,7.588198,1.168949,5.002935,14.277937,19.957626,6.253432
0.010000,1.884190,7.586634,1.220426,5.147710,14.477499,19.956124,6.252193
0.010000,1.937108,7.584960,1.273371,5.294469,14.675956,19.845735,6.250926
0.010000,1.991511,7.583169,1.327803,5.443210,14.874080,19.812441,6.249630
0.010000,2.047417,7.581256,1.383742,5.593927,15.071672,19.759169,6.248305
0.010000,2.104847,7.579213,1.441208,5.746609,15.268226,19.655412,6.246952
0.010000,2.163819,7.577034,1.500221,5.901257,15.464808,19.658175,6.245571
0.010000,2.224353,7.574713,1.560800,6.057858,15.660102,19.529403,6.244161
0.010000,2.286469,7.572243,1.622964,6.216410,15.855203,19.510093,6.242724
0.010000,2.350183,7.569617,1.686733,6.376905,16.049499,19.429652,6.241260
0.010000,2.415517,7.566828,1.752126,6.539335,16.242985,19.348522,6.239768
0.010000,2.482489,7.563867,1.819163,6.703692,16.435652,19.266725,6.238250
0.010000,2.551117,7.560728,1.887863,6.869969,16.627729,19.207668,6.236705
0.010000,2.621420,7.557402,1.958244,7.038160,16.819071,19.134193,6.235134
0.010000,2.693416,7.553883,2.030327,7.208256,17.009629,19.055876,6.233538
0.010000,2.767125,7.550160,2.104129,7.380248,17.199175,18.954611,6.231917
0.010000,2.842564,7.546227,2.179671,7.554128,17.388028,18.885232,6.230271
0.010000,2.919751,7.542074,2.256969,7.729890,17.576236,18.820820,6.228601
0.010000,2.998705,7.537693,2.336045,7.907522,17.763125,18.688930,6.226909
0.010000,3.079443,7.533075,2.416915,8.087017,17.949554,18.642842,6.225194
0.010000,3.161983,7.528211,2.499599,8.268365,18.134760,18.520624,6.223457
0.010000,3.246344,7.523092,2.584114,8.451557,18.319219,18.445867,6.221699
0.010000,3.332542,7.517708,2.670480,8.636583,18.502643,18.342400,6.219921
0.010000,3.420594,7.512050,2.758714,8.823435,18.685125,18.248238,6.218124
0.010000,3.510519,7.506109,2.848835,9.012101,18.866668,18.154326,6.216308
0.010000,3.602334,7.499875,2.940861,9.202572,19.047072,18.040363,6.214476
0.010000,3.696054,7.493338,3.034809,9.394837,19.226486,17.941443,6.212626
0.010000,3.791698,7.486489,3.130698,9.588886,19.404862,17.837626,6.210762
0.010000,3.889282,7.479317,3.228545,9.784707,19.582138,17.727579,6.208883
0.010000,3.988823,7.471812,3.328368,9.982291,19.758420,17.628199,6.206992
0.010000,4.090336,7.463965,3.430184,10.181625,19.933380,17.495995,6.205089
0.010000,4.193839,7.455765,3.534011,10.382698,20.107342,17.396221,6.203175
0.010000,4.299326,7.447205,3.639846,10.583425,20.072635,-3.470763,6.201253
0.010000,4.406773,7.438277,3.747663,10.781723,19.829829,-24.280546,6.199325
0.010000,4.516154,7.428976,3.857439,10.977592,19.586872,-24.295749,6.197392
0.010000,4.627444,7.419296,3.969149,11.171028,19.343637,-24.323505,6.195456
0.010000,4.740618,7.409231,4.082769,11.362031,19.100315,-24.332207,6.193521
0.010000,4.855650,7.398777,4.198275,11.550599,18.856827,-24.348751,6.191588
0.010000,4.972515,7.387928,4.315643,11.736732,18.613223,-24.360416,6.189660
0.010000,5.091187,7.376681,4.434847,11.920427,18.369547,-24.367591,6.187737
0.010000,5.211642,7.365032,4.555864,12.101685,18.125821,-24.372617,6.185824
0.010000,5.333854,7.352978,4.678669,12.280506,17.882062,-24.375888,6.183922
0.010000,5.457798,7.340516,4.803238,12.456889,17.638302,-24.376016,6.182032
