dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.665116,3.605881,0.000010,0.002000,0.200000,20.000000,0.000285
0.010000,0.665113,3.605881,0.000012,0.000227,-0.177340,-37.734022,0.000284
0.010000,0.665108,3.605881,0.000017,0.000510,0.028324,20.566463,0.000282
0.010000,0.665099,3.605881,0.000026,0.000906,0.039653,1.132889,0.000277
0.010000,0.665085,3.605881,0.000041,0.001416,0.050981,1.132755,0.000270
0.010000,0.665065,3.605881,0.000061,0.002039,0.062306,1.132535,0.000260
0.010000,0.665037,3.605881,0.000089,0.002776,0.073628,1.132209,0.000246
0.010000,0.665001,3.605881,0.000125,0.003625,0.084946,1.131754,0.000228
0.010000,0.664955,3.605881,0.000171,0.004588,0.096257,1.131150,0.000205
0.010000,0.664898,3.605881,0.000227,0.005663,0.107561,1.130375,0.000177
0.010000,0.664830,3.605881,0.000296,0.006852,0.118855,1.129407,0.000142
0.010000,0.664748,3.605881,0.000378,0.008153,0.130137,1.128226,0.000102
0.010000,0.664652,3.605881,0.000473,0.009567,0.141406,1.126809,0.000054
0.010000,0.664603,3.605881,0.000523,0.004981,-0.458625,-60.003058,6.283184
0.010000,0.666725,3.605881,0.002646,0.212270,20.728866,2118.749130,6.283120
0.010000,0.669141,3.605881,0.005061,0.241517,2.924765,-1780.410092,6.283047
0.010000,0.671867,3.605880,0.007787,0.272652,3.113516,18.875059,6.282966
0.010000,0.674924,3.605879,0.010844,0.305678,3.302515,18.899941,6.282874
0.010000,0.678330,3.605878,0.014250,0.340595,3.491755,18.923997,6.282772
0.010000,0.682104,3.605876,0.018024,0.377395,3.679963,18.820769,6.282659
0.010000,0.686265,3.605874,0.022185,0.416090,3.869516,18.955316,6.282535
0.010000,0.690831,3.605871,0.026752,0.456671,4.058148,18.863199,6.282398
0.010000,0.695823,3.605866,0.031743,0.499145,4.247362,18.921384,6.282249
0.010000,0.701258,3.605861,0.037178,0.543508,4.436266,18.890428,6.282086
0.010000,0.707156,3.605854,0.043076,0.589766,4.625817,18.955040,6.281910
0.010000,0.713535,3.605845,0.049455,0.637910,4.814443,18.862607,6.281720
0.010000,0.720414,3.605834,0.056335,0.687952,5.004189,18.974657,6.281514
0.010000,0.727813,3.605821,0.063733,0.739888,5.193560,18.937087,6.281294
0.010000,0.735750,3.605805,0.071671,0.793715,5.382715,18.915466,6.281057
0.010000,0.744244,3.605786,0.080165,0.849438,5.572307,18.959246,6.280805
0.010000,0.753315,3.605763,0.089235,0.907058,5.761967,18.965984,6.280535
0.010000,0.762981,3.605736,0.098901,0.966575,5.951698,18.973112,6.280248
0.010000,0.773261,3.605704,0.109181,1.027990,6.141505,18.980652,6.279943
0.010000,0.784174,3.605667,0.120094,1.091304,6.331391,18.988629,6.279619
0.010000,0.795739,3.605624,0.131659,1.156517,6.521362,18.997069,6.279277
0.010000,0.807975,3.605574,0.143896,1.223633,6.711584,19.022232,6.278915
0.010000,0.820901,3.605516,0.156822,1.292656,6.902285,19.070120,6.278533
0.010000,0.834537,3.605450,0.170458,1.363576,7.092004,18.971906,6.278131
0.010000,0.848901,3.605374,0.184822,1.436408,7.283244,19.124007,6.277708
0.010000,0.864012,3.605288,0.199933,1.511142,7.473369,19.012459,6.277264
0.010000,0.879890,3.605191,0.215811,1.587793,7.665086,19.171716,6.276798
0.010000,0.896553,3.605080,0.232475,1.666348,7.855503,19.041688,6.276310
0.010000,0.914020,3.604955,0.249943,1.746817,8.046934,19.143088,6.275799
0.010000,0.932312,3.604815,0.268235,1.829202,8.238509,19.157473,6.275265
0.010000,0.951446,3.604659,0.287370,1.913505,8.430235,19.172615,6.274707
0.010000,0.971443,3.604483,0.307367,1.999726,8.622120,19.188558,6.274126
0.010000,0.992321,3.604288,0.328246,2.087868,8.814174,19.205347,6.273520
0.010000,1.014099,3.604070,0.350025,2.177932,9.006404,19.223028,6.272890
0.010000,1.036797,3.603829,0.372725,2.269922,9.199017,19.261324,6.272234
0.010000,1.060434,3.603562,0.396363,2.363845,9.392292,19.327415,6.271554
0.010000,1.085029,3.603268,0.420960,2.459693,9.584779,19.248782,6.270847
0.010000,1.110602,3.602943,0.446535,2.557479,9.778631,19.385205,6.270114
0.010000,1.137171,3.602585,0.473107,2.657202,9.972271,19.363963,6.269355
0.010000,1.164757,3.602193,0.500695,2.758862,10.166089,19.381788,6.268570
0.010000,1.193378,3.601763,0.529320,2.862467,10.360475,19.438564,6.267757
0.010000,1.223055,3.601293,0.559000,2.968018,10.555115,19.464052,6.266917
0.010000,1.253806,3.600779,0.589755,3.075519,10.750024,19.490895,6.266050
0.010000,1.285651,3.600219,0.621605,3.184975,10.945601,19.557654,6.265155
0.010000,1.318609,3.599609,0.654569,3.296387,11.141205,19.560472,6.264232
0.010000,1.352700,3.598947,0.688667,3.409758,11.337142,19.593665,6.263280
0.010000,1.387944,3.598228,0.723918,3.525095,11.533716,19.657384,6.262301
0.010000,1.424359,3.597449,0.760342,3.642404,11.730871,19.715519,6.261293
0.010000,1.461967,3.596606,0.797958,3.761683,11.927909,19.703793,6.260256
0.010000,1.500785,3.595695,0.836788,3.882940,12.125731,19.782218,6.259191
0.010000,1.540835,3.594712,0.876850,4.006180,12.323926,19.819461,6.258097
0.010000,1.582136,3.593652,0.918164,4.131409,12.522974,19.904788,6.256974
0.010000,1.624707,3.592512,0.960750,4.258628,12.721815,19.884125,6.255822
0.010000,1.668568,3.591285,1.004628,4.387844,12.921666,19.985098,6.254641
0.010000,1.713739,3.589968,1.049819,4.519062,13.121738,20.007186,6.253432
0.010000,1.760241,3.588555,1.096342,4.652290,13.322828,20.109023,6.252193
0.010000,1.808092,3.587041,1.144217,4.787530,13.523986,20.115817,6.250926
0.010000,1.857313,3.585421,1.193465,4.924789,13.725942,20.195621,6.249630
0.010000,1.907925,3.583689,1.244106,5.064075,13.928550,20.260821,6.248305
0.010000,1.959946,3.581838,1.296160,5.205388,14.131388,20.283770,6.246952
0.010000,2.013396,3.579864,1.349647,5.348743,14.335455,20.406704,6.245571
0.010000,2.068298,3.577759,1.404589,5.494139,14.539596,20.414064,6.244161
0.010000,2.124669,3.575517,1.461005,5.641587,14.744838,20.524233,6.242724
0.010000,2.182531,3.573132,1.518915,5.791094,14.950665,20.582672,6.241260
0.010000,2.241903,3.570597,1.578342,5.942665,15.157106,20.644159,6.239768
0.010000,2.302807,3.567905,1.639305,6.096307,15.364194,20.708753,6.238250
0.010000,2.365262,3.565048,1.701825,6.252029,15.572172,20.797804,6.236705
0.010000,2.429289,3.562019,1.765924,6.409838,15.780948,20.877590,6.235134
